word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
this|WORKER|heroes_s2_5_eng_aligned.segment107.word1|0.0|0.36|0.36|5.01|0.0|NA|||87.0|61.0|1.0247|0.4958
american|WORKER|heroes_s2_5_eng_aligned.segment107.word2|0.36|0.88|0.52|0.0|0.0|NA|||79.0|62.0|-0.6453|0.7773
girl|WORKER|heroes_s2_5_eng_aligned.segment107.word3|0.88|1.29|0.41|0.0|0.6|NA||,|83.0|63.0|0.2098|1.0543
she's|WORKER|heroes_s2_5_eng_aligned.segment107.word4|1.89|2.09|0.2|0.6|0.0|NA|||95.0|54.0|2.5476|-1.6144
hitting|WORKER|heroes_s2_5_eng_aligned.segment107.word5|2.09|2.24|0.15|0.0|0.0|NA|||78.0|59.0|-0.8658|-0.0813
all|WORKER|heroes_s2_5_eng_aligned.segment107.word6|2.24|2.31|0.07|0.0|0.0|NA|||77.0|65.0|-1.0892|1.5954
the|WORKER|heroes_s2_5_eng_aligned.segment107.word7|2.31|2.37|0.06|0.0|0.0|NA|||77.0|63.0|-1.0892|1.0543
boys|WORKER|heroes_s2_5_eng_aligned.segment107.word8|2.37|2.74|0.37|0.0|0.0|NA|||79.0|61.0|-0.6453|0.4958
on|WORKER|heroes_s2_5_eng_aligned.segment107.word9|2.74|2.82|0.08|0.0|0.0|NA|||76.0|62.0|-1.3155|0.7773
the|WORKER|heroes_s2_5_eng_aligned.segment107.word10|2.82|2.9|0.08|0.0|0.0|NA|||76.0|60.0|-1.3155|0.2096
dock|WORKER|heroes_s2_5_eng_aligned.segment107.word11|2.9|3.17|0.27|0.0|0.11|NA||...|82.0|58.0|0.0|-0.3773
looking|WORKER|heroes_s2_5_eng_aligned.segment107.word12|3.28|3.72|0.44|0.11|0.0|NA|||85.0|52.0|0.6221|-2.2678
for|WORKER|heroes_s2_5_eng_aligned.segment107.word13|3.72|3.92|0.2|0.0|0.0|NA|||82.0|57.0|0.0|-0.6784
a|WORKER|heroes_s2_5_eng_aligned.segment107.word14|3.92|4.1|0.18|0.0|0.36|NA|||79.0|58.0|-0.6453|-0.3773
certain|WORKER|heroes_s2_5_eng_aligned.segment107.word15|4.46|4.8|0.34|0.36|0.0|NA|||95.0|57.0|2.5476|-0.6784
shipping|WORKER|heroes_s2_5_eng_aligned.segment107.word16|4.8|5.16|0.36|0.0|0.0|NA|||83.0|58.0|0.2098|-0.3773
container|WORKER|heroes_s2_5_eng_aligned.segment107.word17|5.16|5.79|0.63|0.0|0.34|NA||.|82.0|56.0|0.0|-0.9848
