word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
this|RICKY|heroes_s2_5_eng_aligned.segment10.word1|0.0|0.13|0.13|0.49|0.0|NA|||134.0|63.0|2.4656|0.6072
here's|RICKY|heroes_s2_5_eng_aligned.segment10.word2|0.13|0.25|0.12|0.0|0.0|NA|||135.0|64.0|2.5944|0.8798
everything|RICKY|heroes_s2_5_eng_aligned.segment10.word3|0.25|0.48|0.23|0.0|0.0|NA|||123.0|61.0|0.9827|0.0487
you|RICKY|heroes_s2_5_eng_aligned.segment10.word4|0.48|0.54|0.06|0.0|0.0|NA|||110.0|59.0|-0.9511|-0.5285
had|RICKY|heroes_s2_5_eng_aligned.segment10.word5|0.54|0.67|0.13|0.0|0.0|NA|||112.0|59.0|-0.6392|-0.5285
on|RICKY|heroes_s2_5_eng_aligned.segment10.word6|0.67|0.81|0.14|0.0|0.0|NA|||101.0|57.0|-2.4289|-1.1255
you|RICKY|heroes_s2_5_eng_aligned.segment10.word7|0.81|0.94|0.13|0.0|0.28|NA|||0.0|0.0|0.0|0.0
when|RICKY|heroes_s2_5_eng_aligned.segment10.word8|1.22|1.33|0.11|0.28|0.0|NA|||0.0|0.0|0.0|0.0
we|RICKY|heroes_s2_5_eng_aligned.segment10.word9|1.33|1.42|0.09|0.0|0.0|NA|||91.0|55.0|-4.2339|-1.7439
found|RICKY|heroes_s2_5_eng_aligned.segment10.word10|1.42|1.64|0.22|0.0|0.0|NA|||82.0|55.0|-6.0368|-1.7439
you|RICKY|heroes_s2_5_eng_aligned.segment10.word11|1.64|1.7|0.06|0.0|0.1|NA||.|82.0|54.0|-6.0368|-2.0615
