word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
ha|MONICA|heroes_s2_5_spa_aligned.segment43.word1|0.0|0.31|0.31|0.02|0.44|NA|||206.0|64.0|0.2328|0.4853
empujado|MONICA|heroes_s2_5_spa_aligned.segment43.word2|0.75|1.19|0.44|0.44|0.0|NA|||242.0|63.0|3.0211|0.2127
la|MONICA|heroes_s2_5_spa_aligned.segment43.word3|1.19|1.29|0.1|0.0|0.0|NA|||190.0|65.0|-1.1669|0.7537
puerta|MONICA|heroes_s2_5_spa_aligned.segment43.word4|1.29|1.67|0.38|0.0|0.0|NA||,|208.0|59.0|0.4001|-0.923
me|MONICA|heroes_s2_5_spa_aligned.segment43.word5|1.67|1.77|0.1|0.0|0.0|NA|||234.0|67.0|2.4392|1.2784
ha|MONICA|heroes_s2_5_spa_aligned.segment43.word6|1.77|1.81|0.04|0.0|0.0|NA|||260.0|68.0|4.2632|1.5349
puesto|MONICA|heroes_s2_5_spa_aligned.segment43.word7|1.81|2.08|0.27|0.0|0.0|NA|||189.0|57.0|-1.2583|-1.52
una|MONICA|heroes_s2_5_spa_aligned.segment43.word8|2.08|2.22|0.14|0.0|0.0|NA|||263.0|70.0|4.4618|2.0367
pistola|MONICA|heroes_s2_5_spa_aligned.segment43.word9|2.22|2.61|0.39|0.0|0.0|NA|||220.0|60.0|1.3711|-0.632
en|MONICA|heroes_s2_5_spa_aligned.segment43.word10|2.61|2.68|0.07|0.0|0.0|NA|||218.0|66.0|1.213|1.018
la|MONICA|heroes_s2_5_spa_aligned.segment43.word11|2.68|2.77|0.09|0.0|0.0|NA|||164.0|59.0|-3.7146|-0.923
cara|MONICA|heroes_s2_5_spa_aligned.segment43.word12|2.77|3.07|0.3|0.0|0.0|NA|||211.0|60.0|0.648|-0.632
y|MONICA|heroes_s2_5_spa_aligned.segment43.word13|3.07|3.16|0.09|0.0|0.0|NA||,|206.0|64.0|0.2328|0.4853
de|MONICA|heroes_s2_5_spa_aligned.segment43.word14|3.16|3.27|0.11|0.0|0.0|NA|||214.0|61.0|0.8924|-0.3458
repente|MONICA|heroes_s2_5_spa_aligned.segment43.word15|3.27|3.81|0.54|0.0|0.12|NA||,|228.0|61.0|1.9895|-0.3458
ha|MONICA|heroes_s2_5_spa_aligned.segment43.word16|3.93|4.08|0.15|0.12|0.0|NA|||261.0|67.0|4.3297|1.2784
salido|MONICA|heroes_s2_5_spa_aligned.segment43.word17|4.08|4.38|0.3|0.0|0.0|NA|||238.0|64.0|2.7326|0.4853
volando|MONICA|heroes_s2_5_spa_aligned.segment43.word18|4.38|4.7|0.32|0.0|0.0|NA|||209.0|63.0|0.4831|0.2127
contra|MONICA|heroes_s2_5_spa_aligned.segment43.word19|4.7|4.9|0.2|0.0|0.0|NA|||176.0|55.0|-2.492|-2.1384
el|MONICA|heroes_s2_5_spa_aligned.segment43.word20|4.9|4.96|0.06|0.0|0.0|NA|||0.0|0.0|0.0|0.0
cristal|MONICA|heroes_s2_5_spa_aligned.segment43.word21|4.96|5.26|0.3|0.0|0.0|NA||.|0.0|0.0|0.0|0.0
