word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
he|MONICA|heroes_s2_5_eng_aligned.segment43.word1|0.0|0.25|0.25|0.26|0.51|NA|||211.0|53.0|0.7012|-1.9553
pushed|MONICA|heroes_s2_5_eng_aligned.segment43.word2|0.76|0.94|0.18|0.51|0.0|NA|||273.0|60.0|5.1611|0.1923
his|MONICA|heroes_s2_5_eng_aligned.segment43.word3|0.94|1.08|0.14|0.0|0.0|NA|||233.0|61.0|2.4182|0.4785
way|MONICA|heroes_s2_5_eng_aligned.segment43.word4|1.08|1.41|0.33|0.0|0.0|NA|||265.0|64.0|4.6462|1.3096
in|MONICA|heroes_s2_5_eng_aligned.segment43.word5|1.41|1.67|0.26|0.0|0.27|NA||,|211.0|58.0|0.7012|-0.3946
shoved|MONICA|heroes_s2_5_eng_aligned.segment43.word6|1.94|2.14|0.2|0.27|0.0|NA|||211.0|62.0|0.7012|0.76
a|MONICA|heroes_s2_5_eng_aligned.segment43.word7|2.14|2.2|0.06|0.0|0.0|NA|||201.0|59.0|-0.1394|-0.0987
gun|MONICA|heroes_s2_5_eng_aligned.segment43.word8|2.2|2.38|0.18|0.0|0.0|NA|||223.0|62.0|1.6588|0.76
in|MONICA|heroes_s2_5_eng_aligned.segment43.word9|2.38|2.47|0.09|0.0|0.0|NA|||211.0|63.0|0.7012|1.037
my|MONICA|heroes_s2_5_eng_aligned.segment43.word10|2.47|2.57|0.1|0.0|0.0|NA|||189.0|63.0|-1.2051|1.037
face|MONICA|heroes_s2_5_eng_aligned.segment43.word11|2.57|2.74|0.17|0.0|0.1|NA||...|197.0|55.0|-0.4874|-1.3141
next|MONICA|heroes_s2_5_eng_aligned.segment43.word12|2.84|3.13|0.29|0.1|0.0|NA|||215.0|57.0|1.0263|-0.6957
thing|MONICA|heroes_s2_5_eng_aligned.segment43.word13|3.13|3.31|0.18|0.0|0.0|NA|||226.0|60.0|1.8901|0.1923
i|MONICA|heroes_s2_5_eng_aligned.segment43.word14|3.31|3.38|0.07|0.0|0.0|NA|||233.0|68.0|2.4182|2.3592
know|MONICA|heroes_s2_5_eng_aligned.segment43.word15|3.38|3.71|0.33|0.0|0.03|NA|||189.0|61.0|-1.2051|0.4785
he's|MONICA|heroes_s2_5_eng_aligned.segment43.word16|3.74|4.11|0.37|0.03|0.1|NA|||209.0|56.0|0.5363|-1.0021
flying|MONICA|heroes_s2_5_eng_aligned.segment43.word17|4.21|4.61|0.4|0.1|0.03|NA|||211.0|61.0|0.7012|0.4785
through|MONICA|heroes_s2_5_eng_aligned.segment43.word18|4.64|4.75|0.11|0.03|0.0|NA|||210.0|59.0|0.6189|-0.0987
that|MONICA|heroes_s2_5_eng_aligned.segment43.word19|4.75|4.94|0.19|0.0|0.0|NA|||193.0|61.0|-0.8425|0.4785
glass|MONICA|heroes_s2_5_eng_aligned.segment43.word20|4.94|5.21|0.27|0.0|0.84|NA||.|201.0|64.0|-0.1394|1.3096
