word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
i'm|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word1|0.0|0.32|0.32|0.84|0.0|NA|||0.0|0.0|0.0|0.0
so|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word2|0.32|0.47|0.15|0.0|0.0|NA|||159.0|63.0|-0.0241|0.6809
sorry|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word3|0.47|0.82|0.35|0.0|0.0|NA|||142.0|62.0|-1.9817|0.4039
i|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word4|0.82|0.93|0.11|0.0|0.0|NA|||129.0|60.0|-3.6439|-0.1637
left|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word5|0.93|1.11|0.18|0.0|0.0|NA|||132.0|60.0|-3.2459|-0.1637
you|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word6|1.11|1.17|0.06|0.0|0.1|NA||.|0.0|0.0|0.0|0.0
it|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word7|1.27|1.34|0.07|0.1|0.0|NA|||109.0|58.0|-6.5605|-0.7507
wasn't|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word8|1.34|1.61|0.27|0.0|0.0|NA|||169.0|66.0|1.0319|1.4863
easy|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word9|1.61|1.85|0.24|0.0|0.0|NA|||146.0|64.0|-1.5008|0.9536
for|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word10|1.85|1.99|0.14|0.0|0.0|NA|||137.0|54.0|-2.6023|-1.9878
me|MAURY PARKMAN|heroes_s2_5_eng_aligned.segment227.word11|1.99|2.26|0.27|0.0|1.16|NA||.|127.0|56.0|-3.9145|-1.3582
